name,popularity
Aloo Konir Dom Recipe (Assamese Egg & Potato Curry), 4033
Chettinad Vengaya Kosu Recipe (Spicy Curry from Chettinad Cuisine), 4285
Mini Bajra Uttapam Recipe, 3703
Andhra Style Pindi Miriyam Recipe, 2827
Broccoli Egg Bhurji Recipe, 7264
Paneer Butter Masala Recipe, 9630
Pineapple Gojju Recipe (Karnataka Style Tangy And Spicy Pineapple Curry), 13313
Malvani Anda Curry Recipe - Egg Curry With Spicy Malvani Masala, 4583
Sobji Diye Bhaja Muger Dal Recipe - Bengali Style Moong Dal with Winter Vegetables, 7337
Kasuri Methi Paneer Sabzi Recipe, 3229
Kesar Paneer Ki Kheer Recipe - Cottage Cheese Milk Pudding, 3036
Nutty Aloo Paratha Recipe, 2521
Sweet Corn And Raw Mango Salad Recipe, 1468
Chichinda Ki Sabzi Recipe -Uttar Pradesh Style Snake Gourd Stir Fry, 8657
