name,popularity
Gawar Phali Methi Ki Sabzi Recipe -Cluster Beans Methi Sabzi,"[<span id=""recipenumvotes"">1686 ratings.</span>]"
Goan Style Sangacho Ross Recipe-Drumstick Curry,700
Broccoli & Vegetable Coconut Curry Recipe,700
Goan Prawns Vindaloo Recipe,"[<span id=""recipenumvotes"">9834 ratings.</span>]"
Makki and Methi Roti Recipe,"[<span id=""recipenumvotes"">1548 ratings.</span>]"
Warqi Paratha Recipe,"[<span id=""recipenumvotes"">2974 ratings.</span>]"
Pyaz Wali Bhindi Recipe | Bhindi Do Pyaza - Okra Onion Stir Fry,700
Ragi Rava Dosa Recipe With Oats - Finger Millet & Oats Dosa Recipe,700
Khatti Meethi Palak Khichdi Recipe,700
Aloo Bhey Ki Sabzi Recipe (Potato Lotus Stem Curry),700
Traditional Amritsari Chole Recipe | Punjabi Chole Masala,700
Moong Dal Sookhi Sabzi Recipe,"[<span id=""recipenumvotes"">22840 ratings.</span>]"
Bengali Style Dhokar Dalna Recipe (Spiced Lentil Cakes in Tomato Gravy Recipe),"[<span id=""recipenumvotes"">1445 ratings.</span>]"
Mooli Paratha Recipe - Indian Flat Bread with Radish,700
Kodava Mudi Chekke Barthad Recipe - Raw Jackfruit & Black Chickpea Stir Fry,700
Mughlai Style Chicken Changezi Recipe,700
Homemade Mysore Pak Recipe | Traditional Recipe Made With Ghee,700
Methi Matar Pulao Recipe - Fenugreek Green Peas Pulao,700
Kothamalli Rava Upma Recipe - Coriander Semolina Pudding,"[<span id=""recipenumvotes"">3649 ratings.</span>]"
Kerala Style Cauliflower Kurma Recipe,"[<span id=""recipenumvotes"">11232 ratings.</span>]"
Punjabi Toor Dal Tadka Recipe Using Preethi Electric Pressure Cooker,700
Thakkali Sadam Recipe - Spicy Tomato Rice,700
Rajasthani Dal Bati Churma Recipe | Dhaba Style recipe,700
Gehun Ka Halwa Recipe | Atte Ka Halwa | Kada Prasad Recipe,700
Singhara Pulao Recipe - Water Chestnut Mixed Rice,700
Coriander Tamarind Millet Rice Recipe,"[<span id=""recipenumvotes"">1341 ratings.</span>]"
Chettinad Muttai Paniyaram Recipe | Egg Paniyaram Recipe,700
Whole Wheat Flour Puttu Recipe,700
Aloo Matar Sabzi Recipe - Potatoes Peas In Tomato Gravy,700
Dahi Ma Bheeda Recipe (Dahi Bhindi - Parsi Style Okras Cooked In Yogurt Recipe),"[<span id=""recipenumvotes"">1149 ratings.</span>]"
Cabbage Poricha Kootu Recipe (Red Cabbage) - South Indian Cabbage Dal,700
Phalguni Dal Recipe - Bengali Style Red Lentils With Fresh Green Peas,"[<span id=""recipenumvotes"">1813 ratings.</span>]"
Murungai Keerai Kollu Kuzhambu - Drumstick Leaves Horse Gram Curry,"[<span id=""recipenumvotes"">1696 ratings.</span>]"
Rava Kesari Bhath - South Indian Sooji Halwa Recipe,700
Gutti Vankaya Recipe - Andhra Style Stuffed Brinjal,"[<span id=""recipenumvotes"">26115 ratings.</span>]"
Naga Style Chicken With Bamboo Shoot Recipe,"[<span id=""recipenumvotes"">5713 ratings.</span>]"
Hariyali Matar Recipe,"[<span id=""recipenumvotes"">2392 ratings.</span>]"
Punjabi Rajma Masala Recipe - Rajma Chawal/Spiced Red Kidney Beans Curry,700
Chatpate Aloo Recipe With Sesame Seeds,"[<span id=""recipenumvotes"">3458 ratings.</span>]"
Kathirikai Sundakkai Vathal Kuzhambu Recipe,700
Vegetable Rava Upma Recipe  - Sooji Upma Recipe,700
Maharashtrian Aloo Bhujne Recipe - Potato Stir Fry,700
Konkani Style Batata Song Recipe - Dry Red Chili Potatoes Fry,700
Sindhi Dal Pakwan Recipe - A Delicious Sindhi Breakfast,700
Mysore Masala Dosa Made With Ragi Dosa Batter,700
Menthe / Fenugreek Seeds Tambli Recipe (Karnataka Recipes),"[<span id=""recipenumvotes"">1395 ratings.</span>]"
Bengali Style Mangsher Jhol Recipe-Mutton Curry,700
Sorakaya Masala Curry Recipe - Andhra Style Sorakaya Curry,700
Pudina Shavige Recipe - Pudina Semiya Upma Recipe,700
Udupi Red Parboiled Rice Shavige Recipe,"[<span id=""recipenumvotes"">2562 ratings.</span>]"
Mutton Varattiyathu Recipe - Malabar Mutton Roast,700
Keerai Karamani Kuzhambu- Palak Lobia Curry Recipe,700
Vempampoo Rice Recipe (Dried Neem Flowers Rice),700
Smoked Dal Makhani Recipe - Dhaba Style,700
Panchmel Dal Recipe | Rajasthani Dal | Panchkuti Dal,700
Kerala Egg Roast Masala Recipe,700
Andhra Style Vegetarian Biryani with Soya Chunks Recipe,700
Pudalangai Poriyal Recipe  - Snake Gourd Poriyal Recipe,"[<span id=""recipenumvotes"">8924 ratings.</span>]"
Quinoa Brown Rice and Vegetable Pulao Recipe,700
Beetroot Raita Recipe,700
Lahsuni Paneer Recipe - Paneer Flavoured With Garlic,"[<span id=""recipenumvotes"">3477 ratings.</span>]"
Aloo Methi Sabzi Recipe - Potato Fenugreek Leaves Sabzi,700
Dhaba Style Chana Masala From Deserts of Jaisalmer,"[<span id=""recipenumvotes"">5906 ratings.</span>]"
Dal Kabila Recipe - Diabetic Urad Dal Tadka,"[<span id=""recipenumvotes"">2183 ratings.</span>]"
